method,le,alpha,rounds,first_mae,best_mae,last_mae,best_mse,last_mse,mse_improves
fedavg,1,0.01,300,0.376,0.3644,0.3644,0.1536,0.1536,True
fedavg,1,0.1,300,0.3932,0.3862,0.3862,0.171,0.172,False
fedavg,1,0.5,300,0.3943,0.3874,0.3874,0.1718,0.173,False
fedavg,1,1.0,300,0.3947,0.3879,0.3879,0.172,0.1732,False
fedavg,1,5.0,300,0.3945,0.3877,0.3877,0.1719,0.1731,False
fedavg,1,10.0,300,0.3945,0.3877,0.3877,0.1719,0.1731,False
fedavg,5,0.01,300,0.376,0.3195,0.3195,0.1523,0.1577,True
fedavg,5,0.1,300,0.3932,0.3597,0.3597,0.171,0.1911,False
fedavg,5,0.5,300,0.3943,0.3618,0.3618,0.1718,0.1926,False
fedavg,5,1.0,300,0.3947,0.3622,0.3622,0.172,0.1929,False
fedavg,5,5.0,300,0.3945,0.3622,0.3622,0.1719,0.1928,False
fedavg,5,10.0,300,0.3945,0.3621,0.3621,0.1719,0.1928,False
fedavg,10,0.01,300,0.376,0.2928,0.2928,0.1523,0.1754,True
fedavg,10,0.1,300,0.3932,0.3463,0.3463,0.171,0.2197,False
fedavg,10,0.5,300,0.3943,0.3488,0.3488,0.1718,0.2215,False
fedavg,10,1.0,300,0.3947,0.3491,0.3491,0.172,0.2219,False
fedavg,10,5.0,300,0.3945,0.3491,0.3491,0.1719,0.2217,False
fedavg,10,10.0,300,0.3945,0.3492,0.3492,0.1719,0.2217,False
fedavg,20,0.01,300,0.376,0.2836,0.2836,0.1523,0.1711,True
fedavg,20,0.1,300,0.3932,0.3384,0.3384,0.171,0.2166,False
fedavg,20,0.5,300,0.3943,0.3417,0.3417,0.1718,0.2203,False
fedavg,20,1.0,300,0.3947,0.3418,0.3418,0.172,0.2202,False
fedavg,20,5.0,300,0.3945,0.3425,0.3425,0.1719,0.2214,False
fedavg,20,10.0,300,0.3945,0.3426,0.3426,0.1719,0.2215,False
fedgen,1,0.01,300,0.376,0.3336,0.3336,0.1526,0.1546,True
fedgen,1,0.1,300,0.3932,0.3703,0.3703,0.1709,0.1821,True
fedgen,1,0.5,300,0.3943,0.3725,0.3725,0.1717,0.1822,True
fedgen,1,1.0,300,0.3947,0.3743,0.3743,0.1719,0.1824,True
fedgen,1,5.0,300,0.3945,0.3684,0.3684,0.1718,0.186,True
fedgen,1,10.0,300,0.3945,0.3696,0.3696,0.1718,0.185,True
fedgen,5,0.01,86,0.376,0.2899,0.2919,0.1523,0.1784,True
fedgen,5,0.1,112,0.3932,0.3437,0.3444,0.1706,0.2165,True
fedgen,5,0.5,300,0.3943,0.3466,0.3466,0.1714,0.2255,True
fedgen,5,1.0,103,0.3947,0.3459,0.3463,0.1716,0.2191,True
fedgen,5,5.0,105,0.3945,0.3477,0.3478,0.1715,0.2247,True
fedgen,5,10.0,96,0.3945,0.3473,0.3474,0.1715,0.2208,True
fedgen,10,0.01,148,0.376,0.1602,0.1644,0.0608,0.0671,True
fedgen,10,0.1,300,0.3932,0.1482,0.1482,0.0621,0.0622,True
fedgen,10,0.5,300,0.3943,0.145,0.145,0.0599,0.0599,True
fedgen,10,1.0,300,0.3947,0.147,0.147,0.0609,0.0609,True
fedgen,10,5.0,300,0.3945,0.1463,0.1463,0.0591,0.0591,True
fedgen,10,10.0,300,0.3945,0.1545,0.1545,0.0604,0.0604,True
fedgen,20,0.01,279,0.376,0.1308,0.1315,0.0541,0.0549,True
fedgen,20,0.1,300,0.3932,0.1097,0.1097,0.0459,0.0461,True
fedgen,20,0.5,300,0.3943,0.0987,0.0987,0.0412,0.0418,True
fedgen,20,1.0,300,0.3947,0.0979,0.0979,0.041,0.0415,True
fedgen,20,5.0,300,0.3945,0.1022,0.1022,0.0427,0.043,True
fedgen,20,10.0,300,0.3945,0.0944,0.0944,0.0396,0.0401,True
